symbol,ticker,name,sector,isin
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,INE540L01014
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals,INE150B01039
ABDL,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027
ALOKINDS,ALOKINDS.NS,Alok Industries Ltd.,Textiles,INE270A01029
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,INE885A01032
AMBER,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,INE371P01015
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,INE079A01024
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,INE463V01026
ANANTRAJ,ANANTRAJ.NS,Anant Raj Ltd.,Realty,INE242C01024
ANGELONE,ANGELONE.NS,Angel One Ltd.,Financial Services,INE732I01021
ANTHEM,ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020
ANURAS,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018
APARINDS,APARINDS.NS,Apar Industries Ltd.,Capital Goods,INE372A01015
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024
APOLLO,APOLLO.NS,Apollo Micro Systems Ltd.,Capital Goods,INE713T01028
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022
APTUS,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,INE852O01025
ACI,ACI.NS,Archean Chemical Industries Ltd.,Chemicals,INE128X01021
ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services,INE955V01021
ARVIND,ARVIND.NS,Arvind Ltd.,Textiles,INE034A01011
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,INE439A01020
ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Ltd.,Metals & Mining,INE348A01023
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,INE208A01029
ASHOKA,ASHOKA.NS,Ashoka Buildcon Ltd.,Construction,INE442H01029
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,INE021A01026
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,INE914M01019
ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods,INE386C01029
ASTRAL,ASTRAL.NS,Astral Ltd.,Capital Goods,INE006I01046
ATHERENERG,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,INE0LEZ01016
ATLANTAELE,ATLANTAELE.NS,Atlanta Electricals Ltd.,Capital Goods,INE0Z4F01028
ATUL,ATUL.NS,Atul Ltd.,Chemicals,INE100A01010
AURIONPRO,AURIONPRO.NS,Aurionpro Solution Ltd.,Information Technology,INE132H01018
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,INE406A01037
AIIL,AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022
AVALON,AVALON.NS,Avalon Technologies Ltd.,Capital Goods,INE0LCL01028
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Ltd.,Fast Moving Consumer Goods,INE871C01038
DMART,DMART.NS,Avenue Supermarts Ltd.,Consumer Services,INE192R01011
CCAVENUE,CCAVENUE.NS,AvenuesAI Ltd.,Financial Services,INE483S01020
AWFIS,AWFIS.NS,Awfis Space Solutions Ltd.,Services,INE108V01019
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,INE238A01034
AZAD,AZAD.NS,Azad Engineering Ltd.,Capital Goods,INE02IJ01035
BEML,BEML.NS,BEML Ltd.,Capital Goods,INE258A01024
BLS,BLS.NS,BLS International Services Ltd.,Consumer Services,INE153T01027
BSE,BSE.NS,BSE Ltd.,Financial Services,INE118H01025
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Ltd,Consumer Durables,INE193E01025
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,INE296A01032
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,INE918I01026
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012
BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014
BALAMINES,BALAMINES.NS,Balaji Amines Ltd.,Chemicals,INE050E01027
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028
BALUFORGE,BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods,INE011E01029
BANCOINDIA,BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components,INE213C01025
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,INE545U01014
BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,INE028A01039
BANKINDIA,BANKINDIA.NS,Bank of India,Financial Services,INE084A01016
MAHABANK,MAHABANK.NS,Bank of Maharashtra,Financial Services,INE457A01014
BATAINDIA,BATAINDIA.NS,Bata India Ltd.,Consumer Durables,INE176A01028
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,INE462A01022
BELRISE,BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components,INE894V01022
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,INE463A01038
BDL,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026
BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,INE263A01024
BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,INE397D01024
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,INE343G01021
BIKAJI,BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,INE00E101023
GROWW,GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,INE0HOQ01053
BIOCON,BIOCON.NS,Biocon Ltd.,Healthcare,INE376G01013
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials,INE340A01012
BSOFT,BSOFT.NS,Birlasoft Ltd.,Information Technology,INE836A01035
BBOX,BBOX.NS,Black Box Ltd.,Information Technology,INE676A01027
BLACKBUCK,BLACKBUCK.NS,Blackbuck Ltd.,Services,INE0UIZ01018
BLUEDART,BLUEDART.NS,Blue Dart Express Ltd.,Services,INE233B01017
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,INE0KBH01020
BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,INE472A01039
BLUESTONE,BLUESTONE.NS,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,INE304W01038
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025
BORORENEW,BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,INE666D01022
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,INE323A01026
FIRSTCRY,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,INE02RE01045
BRIGADE,BRIGADE.NS,Brigade Enterprises Ltd.,Realty,INE791I01019
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030
MAPMYINDIA,MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,INE0BV301023
CCL,CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022
CESC,CESC.NS,CESC Ltd.,Power,INE486A01021
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029
CIEINDIA,CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components,INE536H01010
CMSINFO,CMSINFO.NS,CMS Info Systems Ltd.,Services,INE925R01014
CORONA,CORONA.NS,CORONA Remedies Ltd.,Healthcare,INE02ZQ01018
CRISIL,CRISIL.NS,CRISIL Ltd.,Financial Services,INE007A01025
CSBBANK,CSBBANK.NS,CSB Bank Ltd.,Financial Services,INE679A01013
CAMPUS,CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables,INE278Y01022
CANFINHOME,CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,INE477A01020
CANBK,CANBK.NS,Canara Bank,Financial Services,INE476A01022
CANHLIFE,CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,INE01TY01017
CRAMC,CRAMC.NS,Canara Robeco Asset Management Company Ltd.,Financial Services,INE218I01013
CAPILLARY,CAPILLARY.NS,Capillary Technologies India Ltd.,Information Technology,INE0ILV01024
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,INE475E01026
CGCL,CGCL.NS,Capri Global Capital Ltd.,Financial Services,INE180C01042
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,INE120A01034
CARTRADE,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,INE290S01011
CASTROLIND,CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,INE172A01027
CEATLTD,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,INE482A01020
CELLO,CELLO.NS,Cello World Ltd.,Consumer Durables,INE0LMW01024
CEMPRO,CEMPRO.NS,Cemindia Projects Ltd.,Construction,INE686A01026
CENTRALBK,CENTRALBK.NS,Central Bank of India,Financial Services,INE483A01010
CDSL,CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,INE736A01011
CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables,INE348B01021
CERA,CERA.NS,Cera Sanitaryware Ltd,Consumer Durables,INE739E01017
CHALET,CHALET.NS,Chalet Hotels Ltd.,Consumer Services,INE427F01016
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,INE085A01013
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE178A01016
CHOICEIN,CHOICEIN.NS,Choice International Ltd.,Financial Services,INE102B01014
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,INE149A01033
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024
CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,INE059A01026
CUB,CUB.NS,City Union Bank Ltd.,Financial Services,INE491A01021
CLEAN,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,INE227W01023
COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,INE704P01025
COFORGE,COFORGE.NS,Coforge Ltd.,Information Technology,INE591G01025
COHANCE,COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,INE03QK01018
COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022
CAMS,CAMS.NS,Computer Age Management Services Ltd.,Financial Services,INE596I01020
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,INE338H01029
CONCOR,CONCOR.NS,Container Corporation of India Ltd.,Services,INE111A01025
COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,Chemicals,INE169A01031
CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,INE00LO01017
CREDITACC,CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,INE741K01010
CRIZAC,CRIZAC.NS,Crizac Ltd.,Consumer Services,INE0S4R01014
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,INE299U01018
CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,INE298A01020
CUPID,CUPID.NS,Cupid Ltd.,Fast Moving Consumer Goods,INE509F01029
CYIENT,CYIENT.NS,Cyient Ltd.,Information Technology,INE136B01020
DCBBANK,DCBBANK.NS,DCB Bank Ltd.,Financial Services,INE503A01015
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified,INE499A01024
DLF,DLF.NS,DLF Ltd.,Realty,INE271C01023
DOMS,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,INE321T01012
DABUR,DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026
DALBHARAT,DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials,INE00R701025
DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods,INE0IX101010
DATAMATICS,DATAMATICS.NS,Datamatics Global Services Ltd.,Information Technology,INE365B01017
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,INE501A01019
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals,INE288B01029
DELHIVERY,DELHIVERY.NS,Delhivery Ltd.,Services,INE148O01028
DEVYANI,DEVYANI.NS,Devyani International Ltd.,Consumer Services,INE872J01023
DIACABS,DIACABS.NS,Diamond Power Infrastructure Ltd.,Capital Goods,INE989C01038
DBL,DBL.NS,Dilip Buildcon Ltd.,Construction,INE917M01012
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,INE361B01024
DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020
AGARWALEYE,AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,INE943P01029
LALPATHLAB,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,INE600L01024
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01031
DUMMYALCAR,DUMMYALCAR.NS,Dummy Allcargo Logistics Ltd.,Services,DUM418H01029
DYNAMATECH,DYNAMATECH.NS,Dynamatic Technologies Ltd.,Capital Goods,INE221B01012
EIDPARRY,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,INE126A01031
EIHOTEL,EIHOTEL.NS,EIH Ltd.,Consumer Services,INE230A01023
EPL,EPL.NS,EPL Ltd.,Capital Goods,INE255A01020
EDELWEISS,EDELWEISS.NS,Edelweiss Financial Services Ltd.,Financial Services,INE532F01054
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021
ELECON,ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods,INE205B01031
EMIL,EMIL.NS,Electronics Mart India Ltd.,Consumer Services,INE02YR01019
ELECTCAST,ELECTCAST.NS,Electrosteel Castings Ltd.,Capital Goods,INE086A01029
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,INE285A01027
ELLEN,ELLEN.NS,Ellenbarrie Industrial Gases Ltd.,Chemicals,INE236E01022
EMAMILTD,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,INE548C01032
EMBDL,EMBDL.NS,Embassy Developments Ltd.,Realty,INE069I01010
EMCURE,EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,INE168P01015
EMMVEE,EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods,INE1C6T01020
ENDURANCE,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components,INE913H01037
ENGINERSIN,ENGINERSIN.NS,Engineers India Ltd.,Construction,INE510A01028
ENTERO,ENTERO.NS,Entero Healthcare Solutions Ltd.,Consumer Services,INE010601016
EIEL,EIEL.NS,Enviro Infra Engineers Ltd.,Utilities,INE0LLY01014
EQUITASBNK,EQUITASBNK.NS,Equitas Small Finance Bank Ltd.,Financial Services,INE063P01018
ERIS,ERIS.NS,Eris Lifesciences Ltd.,Healthcare,INE406M01024
ESCORTS,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,INE042A01014
ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services,INE758T01015
ETHOSLTD,ETHOSLTD.NS,Ethos Ltd.,Consumer Durables,INE04TZ01018
EUREKAFORB,EUREKAFORB.NS,Eureka Forbes Ltd.,Consumer Durables,INE0KCE01017
EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,INE302A01020
NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,INE388Y01029
FEDFINA,FEDFINA.NS,Fedbank Financial Services Ltd.,Financial Services,INE007N01010
FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,INE171A01029
FACT,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,INE188A01015
FIEMIND,FIEMIND.NS,Fiem Industries Ltd,Automobile and Auto Components,INE737H01014
FINCABLES,FINCABLES.NS,Finolex Cables Ltd.,Capital Goods,INE235A01022
FINPIPE,FINPIPE.NS,Finolex Industries Ltd.,Capital Goods,INE183A01024
FSL,FSL.NS,Firstsource Solutions Ltd.,Services,INE684F01012
FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services,INE128S01021
FORCEMOT,FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components,INE451A01017
FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,INE061F01013
UTLSOLAR,UTLSOLAR.NS,Fujiyama Power Systems Ltd.,Capital Goods,INE12UR01024
GAIL,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,INE129A01019
GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,INE200A01026
GHCL,GHCL.NS,GHCL Ltd.,Chemicals,INE539A01019
GMMPFAUDLR,GMMPFAUDLR.NS,GMM Pfaudler Ltd.,Capital Goods,INE541A01023
GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Ltd.,Services,INE776C01039
GMRP&UI,GMRP&UI.NS,GMR Power and Urban Infra Ltd.,Power,INE0CU601026
GABRIEL,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,INE524A01029
GALLANTT,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,INE297H01019
GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,INE382Z01011
GRWRHITECH,GRWRHITECH.NS,Garware Hi-Tech Films Ltd.,Capital Goods,INE291A01017
GICRE,GICRE.NS,General Insurance Corporation of India,Financial Services,INE481Y01014
GILLETTE,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,INE322A01010
GLAND,GLAND.NS,Gland Pharma Ltd.,Healthcare,INE068V01023
GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,INE159A01016
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,INE935A01035
MEDANTA,MEDANTA.NS,Global Health Ltd.,Healthcare,INE474Q01031
GODIGIT,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,INE03JT01014
GPIL,GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods,INE177H01039
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,INE260B01028
GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,INE850D01014
GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,INE102D01028
GODREJIND,GODREJIND.NS,Godrej Industries Ltd.,Diversified,INE233A01035
GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,Realty,INE484J01027
GOKEX,GOKEX.NS,Gokaldas Exports Ltd.,Textiles,INE887G01027
GOKULAGRO,GOKULAGRO.NS,Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,INE314T01033
GRANULES,GRANULES.NS,Granules India Ltd.,Healthcare,INE101D01020
GRAPHITE,GRAPHITE.NS,Graphite India Ltd.,Capital Goods,INE371A01025
GRASIM,GRASIM.NS,Grasim Industries Ltd.,Construction Materials,INE047A01021
GRAVITA,GRAVITA.NS,Gravita India Ltd.,Metals & Mining,INE024L01027
GESHIP,GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services,INE017A01032
GREAVESCOT,GREAVESCOT.NS,Greaves Cotton Ltd.,Capital Goods,INE224A01026
GAEL,GAEL.NS,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,INE036B01030
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals,INE09N301011
GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,INE131A01031
GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,INE113A01013
GPPL,GPPL.NS,Gujarat Pipavav Port Ltd.,Services,INE517F01014
GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,INE026A01025
HEG,HEG.NS,H.E.G. Ltd.,Capital Goods,INE545A01024
HGINFRA,HGINFRA.NS,H.G. Infra Engineering Ltd.,Construction,INE926X01010
HBLENGINE,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,INE292B01021
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,INE860A01027
HDBFS,HDBFS.NS,HDB Financial Services Ltd.,Financial Services,INE756I01012
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,INE127D01025
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,INE040A01034
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,INE795G01014
HFCL,HFCL.NS,HFCL Ltd.,Telecommunication,INE548A01028
HAPPSTMNDS,HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,Information Technology,INE419U01012
HAVELLS,HAVELLS.NS,Havells India Ltd.,Consumer Durables,INE176B01034
HCG,HCG.NS,Healthcare Global Enterprises Ltd.,Healthcare,INE075I01017
HEMIPROP,HEMIPROP.NS,Hemisphere Properties India Ltd.,Services,INE0AJG01018
HERITGFOOD,HERITGFOOD.NS,Heritage Foods Ltd.,Fast Moving Consumer Goods,INE978A01027
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,INE158A01026
HEXT,HEXT.NS,Hexaware Technologies Ltd.,Information Technology,INE093A01041
HSCL,HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals,INE019C01026
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,INE038A01020
HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,INE066F01020
HCC,HCC.NS,Hindustan Construction Co. Ltd.,Construction,INE549A01026
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,INE531E01026
